"id","content","category"
"5","In 2003, following a successful season on grass, Federer became the first Swiss man to win a Grand Slam title when he emerged victorious at Wimbledon.","sports"
"9","Volcanoes can cause widespread destruction and consequent disaster in several ways.","natural disaster"
"7","In a vulnerable area, however, such as San Francisco in 1906, an earthquake can have disastrous consequences and leave lasting damage, requiring years to repair.","natural disaster"
"6","A natural disaster is a major adverse event resulting from natural processes of the Earth. Examples include floods, volcanic eruptions, earthquakes, tsunamis, and other geologic processes.","natural disaster"
"3","At age 14, Federer became the national junior champion in Switzerland","sports"
"10","A flood is an overflow of water that submerges land","natural disaster"
"4","Federer won the Wimbledon boys singles and doubles titles in 1998, and turned professional later that year.","sports"
"1","Tennis star Roger Federer was born on August 8, 1981, in Basel, Switzerland, to Swiss father Robert Federer and South African mother Lynette Du Rand","sports"
"8","An earthquake is the result of a sudden release of energy in the Earth crust that creates seismic waves.","natural disaster"
"2","Federer took an interest in sports at an early age, playing tennis and soccer at the age of 8.","sports"
