id,text_data
5,Which city serves as the gateway to the Khyber Pass?
5,What is Peshawar known for historically?
5,What type of goods is Peshawar famous for?
3,Give me name and value from the given data.
1,What is this city name in discussion?
6,What is the purpose of the Great Wall of China?
6,How long is the Great Wall of China?
6,Why is the Great Wall of China considered a marvel?
4,Which city is known as the cultural capital of Pakistan?
4,What landmarks are UNESCO World Heritage sites in Lahore?
4,What is Lahore famous for besides its landmarks?
2,What is in Karachi?
2,Does it have a desert?
